Title, Year
"The Venetian Affair", 1967
"Signpost to Murder", 1964
"Wait Until Dark", 1967
"Cape Fear", 1962
"Seance on a Wet Afternoon", 1964
"Psycho", 1960
"Seconds", 1966
"Silver Streak", 1976
"Brewster's Millions", 1985
"Richard Pryor: Live on the Sunset Strip", 1982
"Richard Pryor: Here and Now", 1983
"Jo Jo Dancer, Your Life Is Calling", 1986
"Greased Lightning", 1977
"You're a Big Boy Now", 1966
"The Split", 1968
"Harper", 1966
"Reflections in a Golden Eye", 1967
"Requiem for a Heavyweight", 1962
"The Haunting", 1963
"East of Eden", 1955
"The Dark Angel", 1935
"The Scarlet Pimpernel", 1934
"The Private Life of Don Juan", 1934
"The Private Life of Henry VIII", 1933
"The Private Lives of Elizabeth and Essex", 1939
"Yellowface: Asian Whitewashing and Racism in Hollywood", 2019
"Bachelor in Paradise", 1961
"This Could Be the Night", 1957
"The Prize", 1963
"Don't Make Waves", 1967
"I Love You, Alice B. Toklas!", 1968
"Ginger in the Morning", 1974
"Corvette Summer", 1978
"Hey There, It's Yogi Bear", 1964
"The Man Called Flintstone", 1966
"A Christmas Story", 1972
"Anchors Aweigh", 1945
"Dangerous When Wet", 1953
"Invitation to the Dance", 1956
"The Bob Mathias Story", 1954
"Crazylegs", 1953
"The Babe Ruth Story", 1948
"The Jackie Robinson Story", 1950
"Knute Rockne All American", 1940
"Jim Thorpe--All American", 1951
"Somebody Up There Likes Me", 1956
"When We Were Kings", 1996
"Forever, Darling", 1956
"Here Comes Mr. Jordan", 1941
"The Bishop's Wife", 1947
"Carousel", 1956
"I Married an Angel", 1942
"Gabriel Over the White House", 1933
"Our Vines Have Tender Grapes", 1945
"The Swan", 1956
"The Woman in White", 1948
"Johnny Belinda", 1948
"The Magnificent Ambersons", 1942
"Citizen Kane", 1941
"The Bat", 1959
"Cover Girl", 1944
"New York, New York", 1977
"Silk Stockings", 1957
"The Pirate", 1948
"Blackbeard, the Pirate", 1952
"The King's Thief", 1955
"The Saint in London", 1939
"Behind the Mask", 1934
"Tarzan Triumphs", 1943
"The Battle of Gettysburg", 1955
"Swing High, Swing Low", 1937
"It Happened on 5th Avenue", 1947
"King of Kings", 1961
"The Power of Film Episode 5: The Power of Paradox", 2023
"People Will Talk", 1951
"The Scarlet Empress", 1934
"Cry of the City", 1948
"Crossing Delancey", 1988
"Girlfriends", 1978
"Broadway Melody of 1940", 1940
"You Were Never Lovelier", 1942
"Cry of the City", 1948
"From Here to Eternity", 1953
"Shadow of the Thin Man", 1941
"Shall We Dance", 1937
"How to Marry a Millionaire", 1953
"Christmas in Connecticut", 1945
"A Night to Remember", 1958
"The Mark of Zorro", 1920
"Simon of the Desert", 1965
"Viridiana", 1961
"William Wyler: Forty Takes Willy", 2024
"The Great Bank Robbery", 1969
"The League of Gentlemen", 1960
"Larceny, Inc.", 1942
"Kelly's Heroes", 1970
"Penelope", 1966
"The Miracle of Morgan's Creek", 1944
"Going in Style", 1979
"Grand Hotel", 1932
"Skyscraper Souls", 1932
"Metropolis", 1926
"Five and Ten", 1931
"Little Caesar", 1930
"The Glass Slipper", 1955
"Kismet", 1955
"The Phenix City Story", 1955
"The Sea Chase", 1955
"Mister Roberts", 1955
"The Night of the Hunter", 1955
"Oklahoma!", 1955
"These Three", 1936
"Over the Moon", 1939
"Affectionately Yours", 1941
"Lydia", 1941
"Un carnet de bal", 1937
"A Day in the Country", 1946
"MGM Parade Show #1", 1955
"Double Dynamite", 1951
"I'll See You in My Dreams", 1951
"Trouble Along the Way", 1953
"The Five Pennies", 1959
"It Started in Naples", 1960
"Houseboat", 1958
"Yours, Mine, and Ours", 1968
"Jack and the Beanstalk", 1967
"Charlotte's Web", 1973
"The Gathering", 1977
"Baxter!", 1973
"C.H.O.M.P.S.", 1979
"Holiday in Mexico", 1946
"The True Adventures of Raoul Walsh", 2019
"Leslie Caron: The Reluctant Star", 2016
"Becoming Hitchcock - The Legacy of Blackmail", 2024
"What She Said: The Art of Pauline Kael", 2018
"The Automat", 2021
"Z Channel: A Magnificent Obsession", 2004
"Dean Martin: King of Cool", 2021
"Nichols and May: Take Two", 1996
"Paddy Chayefsky: Collector of Words", 2025
"Heaven Can Wait", 1978
"The Angel Levine", 1970
"Oh, God!", 1977
"Wings of Desire", 1987
"Monty Python's Life of Brian", 1979
"Monty Python and the Holy Grail", 1975
"On the Town", 1949
"High Society", 1956
"The Man with the Golden Arm", 1956
"Some Came Running", 1958
"Ocean's Eleven", 1960
"Marriage on the Rocks", 1965
"Waiting for Guffman", 1996
"Best in Show", 2000
"This Is Spinal Tap", 1984
"The Big Picture", 1989
"The Player", 1992
"Death of a Scoundrel", 1956
"The Saint Strikes Back", 1939
"The Judgment of Tarzan", 1934
"Tarzan's Desert Mystery", 1943
"They're Always Caught", 1938
"Bye Bye Birdie", 1963
"Mary Poppins", 1964
"Chitty Chitty Bang Bang", 1968
"The Power of Film Episode 6: Love and Meaning", 2023
"Killer's Kiss", 1955
"The Harder They Fall", 1956
"Cash on Demand", 1961
"The Young Runaways", 1968
"The Big Cube", 1969
"Easy to Love", 1953
"Thrill of a Romance", 1945
"Cash on Demand", 1961
"Holiday Affair", 1949
"In the Good Old Summertime", 1949
"The Shop Around the Corner", 1940
"Meet Me in St. Louis", 1944
"The Gold Rush", 1925
"The Great Dictator", 1940
"The Scar of Shame", 1927
"Watership Down", 1978
"Fantastic Planet", 1973
"Half a Hero", 1953
"The Incredible Mr. Limpet", 1964
"The Unsinkable Molly Brown", 1964
"It's Tough to Be Famous", 1932
"Here Comes the Navy", 1934
"Rogue's March", 1953
"Hero at Large", 1980
"Local Hero", 1983
"42nd Street", 1933
"Footlight Parade", 1933
"Gold Diggers of 1933", 1933
"Broadway Melody of 1938", 1937
"Born to Dance", 1936
"MGM Parade Show #1", 1955
"The Giant Behemoth", 1959
"Gojira", 1954
"Them!", 1954
"World Without End", 1956
"The Thing from Another World", 1951
"Invaders from Mars", 1953
"When Worlds Collide", 1951
"The War of the Worlds", 1953
"I Married a Monster from Outer Space", 1958
"Wuthering Heights", 1939
"The Divorce of Lady X", 1938
"'Til We Meet Again", 1940
"That Uncertain Feeling", 1941
"The Merry Widow", 1934
"Ninotchka", 1939
"Captured!", 1933
"Gunga Din", 1939
"Chances", 1931
"The Dawn Patrol", 1930
"I Like Your Nerve", 1931
"Having Wonderful Time", 1938
"Joy of Living", 1938
"Sinbad the Sailor", 1947
"Emma", 1996
"Sense and Sensibility", 1995
"Persuasion", 1995
"Pride and Prejudice", 1940
"The Brighton Strangler", 1945
"A Summer Place", 1959
"Written on the Wind", 1957
"All That Heaven Allows", 1955
"Dear Heart", 1964
"Boys' Night Out", 1962
"Sunday in New York", 1963
"A New Kind of Love", 1963
