Title, Year
"Hollywood Canteen", 1944
"42nd Street", 1933
"Born to Dance", 1936
"Swing Time", 1936
"Royal Wedding", 1951
"The Band Wagon", 1953
"Seven Brides for Seven Brothers", 1954
"West Side Story", 1961
"All That Jazz", 1979
"The Red Shoes", 1948
"Fame", 1980
"Algiers", 1938
"Odd Man Out", 1947
"Logan's Run", 1975
"Running on Empty", 1988
"I Am a Fugitive from a Chain Gang", 1932
"The Defiant Ones", 1958
"North by Northwest", 1959
"The Harder They Fall", 1956
"Fat City", 1972
"Champion", 1949
"Golden Boy", 1939
"Somebody Up There Likes Me", 1956
"Mr. Dodd Takes the Air", 1937
"Foreign Correspondent", 1940
"It's Always Fair Weather", 1955
"It Should Happen to You", 1954
"Being There", 1979
"My Favorite Year", 1982
"The Sunshine Boys", 1975
"Around the World in 80 Days", 1956
"A Passage to India", 1984
"The Man Who Knew Too Much", 1956
"A Little Romance", 1979
"Juarez", 1939
"Fiesta", 1947
"The Champ", 1931
"The Brave One", 1956
"Cowboy", 1958
"The Treasure of the Sierra Madre", 1948
"The Night of the Iguana", 1964
"The Best Years of Our Lives", 1946
"Sweet Bird of Youth", 1962
"Volver", 2006
"Some Came Running", 1958
"A Farewell to Arms", 1932
"Of Mice and Men", 1939
"A Tale of Two Cities", 1935
"Great Expectations", 1946
"Tom Jones", 1963
"Madame Bovary", 1949
"The Picture of Dorian Gray", 1945
"Mr. Smith Goes to Washington", 1939
"The Great McGinty", 1940
"Seven Days in May", 1964
"The Fog of War", 2003
"The Candidate", 1972
"Immortal Love", 1961
"Yojimbo", 1961
"Autumn Sonata", 1978
"Bicycle Thieves", 1948
"I Vitelloni", 1953
"The Umbrellas of Cherbourg", 1964
"The 400 Blows", 1959
"For All Mankind", 1989
"2001: A Space Odyssey", 1968
"Marooned", 1969
"Forbidden Planet", 1956
"Anthony Adverse", 1936
"Mighty Joe Young", 1949
"Jungle Book", 1942
"Mogambo", 1953
"The Old Man and the Sea", 1958
"Born Free", 1966
"King Solomon's Mines", 1950
"The Adventures of Robin Hood", 1938
"The Flight of the Phoenix", 1965
"Mutiny on the Bounty", 1962
"The Last of the Mohicans", 1936
"The Flame and the Arrow", 1950
"Speedy", 1928
"Manhattan Melodrama", 1934
"On the Town", 1949
"Guys and Dolls", 1955
"The Apartment", 1960
"The Goodbye Girl", 1977
"Barefoot in the Park", 1967
"Moonstruck", 1987
"Hannah and Her Sisters", 1986
"Arthur", 1981
"Midnight Cowboy", 1969
"Klute", 1971
"Romeo and Juliet", 1936
"Four Daughters", 1938
"Janie", 1944
"Little Women", 1933
"Splendor in the Grass", 1961
"Rebel Without a Cause", 1955
"East of Eden", 1955
"Sunrise", 1927
"The Artist", 2011
"Wings", 1927
"The Racket", 1928
"The Crowd", 1928
"The Circus", 1928
"The Front Page", 1931
"Bachelor Mother", 1939
"Woman of the Year", 1942
"Bells Are Ringing", 1960
"The Solid Gold Cadillac", 1956
"Executive Suite", 1954
"Alice Doesn't Live Here Anymore", 1974
"The Lost Weekend", 1945
"Tender Mercies", 1983
"Cat on a Hot Tin Roof", 1958
"A Free Soul", 1931
"The Champ", 1979
"A Star Is Born", 1937
"Tulsa", 1949
"San Francisco", 1936
"The Toast of New Orleans", 1950
"The Young Philadelphians", 1959
"Meet Me in Las Vegas", 1956
"Meet Me in St. Louis", 1944
"Dark Victory", 1939
"Magnificent Obsession", 1954
"No Sad Songs For Me", 1950
"Not as a Stranger", 1955
"Johnny Belinda", 1948
"The Narrow Margin", 1952
"Union Pacific", 1939
"Closely Watched Trains", 1966
"The Train", 1964
"Travels with My Aunt", 1972
"Brief Encounter", 1945
"Some Like It Hot", 1959
"A Streetcar Named Desire", 1951
"Selma", 2014
"To Kill a Mockingbird", 1962
"Jezebel", 1938
"The Great Santini", 1979
"Min and Bill", 1930
"Topper Takes a Trip", 1939
"Beneath the 12-Mile Reef", 1953
"Woman in the Dunes", 1964
"Mystery Street", 1950
"Summer of '42", 1971
"The Sandpiper", 1965
"Field of Dreams", 1989
"Bull Durham", 1988
"Bang the Drum Slowly", 1973
"The Pride of the Yankees", 1943
"The Stratton Story", 1949
"The Great Dictator", 1940
"A Day at the Races", 1937
"It Happened One Night", 1934
"Annie Hall", 1977
"Lover Come Back", 1961
"The Producers", 1967
"The Fortune Cookie", 1966
"Tootsie", 1982
"My Man Godfrey", 1936
"The Philadelphia Story", 1940
"Monsieur Hulot's Holiday", 1953
"10", 1979
"It's a Great Feeling", 1949
"What Ever Happened to Baby Jane?", 1962
"Singin' in the Rain", 1952
"A Star Is Born", 1954
"Sunset Boulevard", 1950
"The Barefoot Contessa", 1954
"The Oscar", 1966
"The Bad and the Beautiful", 1952
"Inside Daisy Clover", 1965
"The Player", 1992
"Susan Slept Here", 1954
